Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-12-10,3547.21,3597.2,3412.9,3424.52,46.36705466,161499.93785795,3483.0751929834
2018-12-11,3420.5,3420.63,3305.5,3350.0,103.50971986,348552.36313049,3367.3394498789
2018-12-12,3344.1,3483.98,3337.5,3440.0,102.59598554,350304.56528482,3414.4081119845
2018-12-13,3437.8,3439.9,3229.06,3271.1,146.76268794,494433.66705728,3368.9330305767
2018-12-14,3269.17,3288.9,3148.42,3197.8,188.23633776,605655.86213545,3217.5289284881
2018-12-15,3198.18,3231.04,3136.7,3194.5,55.53774179,176865.56337205,3184.6012760262
2018-12-16,3190.2,3262.11,3182.0,3196.28,76.77095716,247498.13117174,3223.8510541939
2018-12-17,3199.7,3567.4,3195.7,3504.9,285.50017589,973944.30593884,3411.3614918195
2018-12-18,3506.34,3680.81,3439.45,3661.74,119.52054678,422815.0550626,3537.5930453269
2018-12-19,3674.4,3922.0,3643.1,3696.6,151.42435959,568148.51856757,3752.0285382477
2018-12-20,3673.13,4168.2,3673.13,4081.1,248.15268696,986057.26615234,3973.5909299716
2018-12-21,4072.86,4150.0,3788.1,3856.8,144.73984451,578410.47797809,3996.2076782397
2018-12-22,3861.4,4015.94,3800.46,3986.5,86.97720172,340421.85926085,3913.92057377
2018-12-23,3982.79,4051.2,3920.4,3950.28,75.35048652,299988.84853625,3981.2463381591
2018-12-24,3962.13,4228.6,3962.13,4052.8,149.38795511,613560.94620822,4107.1647694516
2018-12-25,4031.69,4031.69,3687.94,3775.49,132.1746266,502532.92247103,3802.0377692599
2018-12-26,3787.3,3872.8,3702.1,3811.89,50.86685014,193161.08218771,3797.3863460402
2018-12-27,3814.4,3838.4,3581.1,3598.79,92.8790072,342463.91422398,3687.2047252458
2018-12-28,3601.0,3926.0,3589.7,3880.5,81.17644288,305159.6580765,3759.2144623485
2018-12-29,3890.1,3933.4,3729.9,3752.1,104.39835141,403319.4742847,3863.2743605381
2018-12-30,3754.9,3856.47,3715.2,3829.3,54.01096828,205064.01679222,3796.7106186495
2018-12-31,3838.9,3838.9,3625.5,3699.12,163.67361976,605488.01347868,3699.3622696592
2019-01-01,3706.2,3825.8,3665.95,3819.8,54.4287354,203577.88436352,3740.2648227525
2019-01-02,3827.85,3955.8,3778.1,3909.19,56.10229857,217102.86156193,3869.7676761149
2019-01-03,3883.9,3893.69,3722.41,3795.9,87.53461261,333361.13422573,3808.3350606803
2019-01-04,3783.03,3851.51,3732.8,3837.3,9.85123884,37324.244719979,3788.7869055034
2019-01-05,3838.19,3865.4,3789.39,3800.76,33.59387349,128671.30538346,3830.2015223628
2019-01-06,3800.77,4075.23,3766.9,4052.09,116.32199934,458574.12896271,3942.2820409262
2019-01-07,4052.13,4057.02,3925.3,3990.0,156.98981808,624480.27748956,3977.8393600745
2019-01-08,3991.09,4101.6,3958.7,4000.4,46.87370197,188432.66653847,4020.008205434
2019-01-09,3985.0,4038.3,3957.1,3999.05,49.76273059,198761.4614707,3994.183179141
2019-01-10,4011.06,4032.7,3553.9,3633.24,199.56362623,749280.47316138,3754.5943983691
2019-01-11,3628.5,3687.4,3584.7,3630.5,31.35606607,114142.18563775,3640.1947037278
2019-01-12,3632.1,3649.0,3578.41,3618.91,17.67347524,63897.404203476,3615.4408420399
2019-01-13,3614.3,3635.6,3489.23,3508.5,40.57202952,143946.75042006,3547.9307326517
2019-01-14,3520.53,3706.4,3520.53,3668.9,64.92227109,235120.39565659,3621.5676332494
2019-01-15,3681.01,3684.1,3560.7,3587.1,56.20338193,202869.03147116,3609.552032364
2019-01-16,3583.69,3658.67,3570.9,3606.3,55.70751781,200302.04139498,3595.6016219955
2019-01-17,3612.6,3649.59,3548.5,3636.72,131.62426347,470940.58992576,3577.9162405957
2019-01-18,3634.57,3634.6,3510.0,3615.71,144.13825089,514883.43313572,3572.1498627637
2019-01-19,3612.3,3743.4,3611.0,3701.6,55.54053454,204689.75089576,3685.4119714736
2019-01-20,3683.0,3694.6,3494.1,3537.0,66.85471482,239387.98942782,3580.7196257189
2019-01-21,3543.92,3558.0,3471.7,3532.27,59.18199759,207938.42897785,3513.5419121605
2019-01-22,3542.87,3600.0,3450.3,3572.9,64.80816593,228550.27568609,3526.5660184389
2019-01-23,3572.22,3600.4,3519.78,3555.0,73.51265084,262143.6245423,3565.9661506814
2019-01-24,3546.2,3578.43,3520.3,3567.91,51.2115816,181272.55590224,3539.6789210322
2019-01-25,3567.91,3567.91,3419.2,3557.2,323.31388987,1130087.0284114,3495.3247101934
2019-01-26,3561.12,3636.5,3541.2,3562.5,25.42071865,91502.644704508,3599.5302085808
2019-01-27,3549.5,3558.8,3477.4,3531.26,10.36029083,36407.792404548,3514.167025034
2019-01-28,3531.26,3531.26,3322.8,3434.7,338.23684303,1144262.7653727,3383.0222489134
2019-01-29,3434.5,3434.5,3348.2,3381.0,22.03169521,74800.910237843,3395.1500111481
2019-01-30,3381.02,3454.1,3376.7,3434.0,67.00397557,228808.30117701,3414.846645002
2019-01-31,3437.2,3463.88,3390.7,3410.0,74.53531386,255377.55639578,3426.2625750185
2019-02-01,3409.66,3448.8,3372.0,3448.8,8.15189858,27729.676701797,3401.6218957666
2019-02-02,3439.2,3474.7,3416.8,3470.03,13.8280955,47587.150117149,3441.3379714617
2019-02-03,3456.48,3458.4,3385.7,3410.45,2.73447926,9367.589255203,3425.7305923772
2019-02-04,3409.96,3431.4,3398.0,3410.32,49.065071,167540.19436326,3414.6530505023
2019-02-05,3410.16,3430.4,3399.2,3422.43,6.50116022,22248.826733214,3422.2855583175
2019-02-06,3422.63,3435.4,3343.8,3373.14,17.56923692,59276.396261597,3373.8742628099
2019-02-07,3366.02,3371.54,3338.69,3349.89,12.363758,41457.67147167,3353.1610269038
2019-02-08,3351.68,3698.92,3343.0,3621.3,89.49295706,317214.58263326,3544.5759426698
2019-02-09,3611.4,3629.7,3591.37,3616.11,38.98166302,140937.40898089,3615.4796399677
2019-02-10,3616.11,3639.7,3582.8,3635.82,20.149,72795.56781,3612.8625643953
2019-02-11,3635.62,3635.62,3578.0,3586.3,11.56583243,41621.986239434,3598.7021679021
2019-02-12,3582.78,3609.3,3551.3,3586.9,36.49997118,130753.5975814,3582.2931732353
2019-02-13,3579.3,3617.4,3550.8,3568.82,69.28695946,247669.94352893,3574.5535012531
2019-02-14,3568.12,3578.6,3539.4,3564.13,6.40699232,22870.721441549,3569.6502039117
2019-02-15,3563.3,3604.33,3541.8,3563.93,10.48415367,37495.791967611,3576.4252554695
2019-02-16,3563.93,3603.5,3563.93,3578.39,13.73530773,49273.233911651,3587.3410978649
